tic_id,hostname,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_teff,st_tefferr1,st_tefferr2,sy_dist,pl_letter,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,tran_flag,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
,"PSR J1719-1438",,,,1.400000,,,4500.00,,,1200.00000000,"b",0.09070629300,0.00000000200,-0.00000000200,,,,382.80000000,,,"Mass",,,,0.060000,,,0,,,
"TIC 286865921","WASP-83",1.050000,0.060000,-0.040000,1.110000,0.090000,-0.090000,5510.00,110.00,-110.00,271.10300000,"b",4.97125200000,0.00001500000,-0.00001500000,11.65736000,0.89672000,-0.56045000,95.34900000,9.53490000,-9.53490000,"Mass",88.90000,0.70000,-0.70000,0.000000,,,1,2455928.88530000,0.00040000,-0.00040000
"TIC 233193964","GJ 687",0.418300,0.007000,-0.007000,0.400000,0.020000,-0.020000,3413.00,28.00,-28.00,4.54939000,"c",727.56200000000,12.19800000000,-12.19800000000,4.14000000,,,16.00000000,4.10000000,-4.10000000,"Msini",,,,0.400000,0.220000,-0.220000,0,,,
"TIC 164884002","Kepler-55",0.619000,0.028000,-0.028000,0.631000,0.016000,-0.016000,4503.00,100.00,-100.00,578.79600000,"d",2.21109900000,0.00000400000,-0.00000400000,1.59000000,0.09000000,-0.09000000,3.15000000,,,"M-R relationship",84.94000,,,0.000000,,,1,2455003.14912000,0.00091000,-0.00091000
"TIC 401701660","HD 199509",0.920000,0.030000,-0.030000,1.040000,0.136000,-0.136000,5796.02,117.02,-96.14,24.30560000,"b",99.62167000000,0.14198000000,-0.09430000000,7.43000000,,,43.22466335,3.81394088,-5.08525451,"Msini",,,,0.373000,0.090000,-0.087000,0,,,
"TIC 857186","WASP-154",0.823000,0.047000,-0.047000,0.800000,0.050000,-0.050000,4774.00,133.00,-133.00,215.50100000,"b",3.81167800000,0.00000100000,-0.00000100000,10.76062147,0.67253884,-0.67253884,198.96058278,40.99986450,-40.99986450,"Mass",88.46000,0.30000,-0.27000,0.000000,,,1,2459465.89195000,0.00028000,-0.00027000
"TIC 251109533","HD 16141",1.480000,0.020000,-0.020000,1.110000,0.060000,-0.060000,5757.00,9.00,-9.00,37.78610000,"b",75.52300000000,0.05500000000,-0.05500000000,10.90000000,,,82.63580000,6.35660000,-6.35660000,"Msini",,,,0.250000,0.050000,-0.050000,0,2451932.30000000,1.20000000,-1.10000000
"TIC 27081773","Kepler-1343",0.930000,0.113000,-0.084000,0.950000,0.059000,-0.078000,5759.00,107.08,-75.84,1756.71000000,"b",3.35183158000,0.00001113000,-0.00001113000,1.93000000,0.25000000,-0.19000000,4.38000000,,,"M-R relationship",89.60000,,,0.000000,,,1,2454964.64828000,0.00283000,-0.00283000
"TIC 270611154","Kepler-81",0.595000,0.029000,-0.029000,0.648000,0.028000,-0.028000,4500.00,116.00,-116.00,348.29100000,"d",20.83784600000,0.00018100000,-0.00018100000,1.21000000,0.27000000,-0.27000000,1.92000000,,,"M-R relationship",89.18000,,,0.000000,,,1,2454965.07963000,0.00533000,-0.00533000
"TIC 243272677","Kepler-531",0.750000,0.022000,-0.023000,0.780000,0.031000,-0.032000,4893.00,47.74,-49.34,252.76200000,"b",29.88485741000,0.00003246000,-0.00003246000,2.78000000,0.08000000,-0.19000000,8.15000000,,,"M-R relationship",89.06000,,,0.000000,,,1,2455006.19442500,0.00089600,-0.00089600
