tid,toipfx,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_dist,toi,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
384513078,"1106",4.9400000,,,5042.0000000,122.0000000,-122.0000000,523.4250000,"1106.01",11.1149000,0.0029500,-0.0029500,14.7645000,,,2458630.7193700,0.008280,-0.008280
394561119,"1107",1.7483600,0.0780452,-0.0780452,6501.0000000,138.9000000,-138.9000000,281.3140000,"1107.01",4.0782392,0.0000017,-0.0000017,13.8981740,0.6260191,-0.6260191,2459336.0736460,0.000176,-0.000176
295599256,"1108",1.9100000,0.1100000,-0.1100000,7860.0000000,220.0000000,-220.0000000,417.0800000,"1108.01",7.1438600,0.0005400,-0.0005400,22.1531000,1.9765200,-1.9765200,2458655.5487200,0.000980,-0.000980
50309953,"1109",0.9100000,0.0500000,-0.0500000,5317.0000000,65.7000000,-65.7000000,102.2380000,"1109.01",7.0408300,0.0000300,-0.0000300,8.4640400,2.2023400,-2.2023400,2459083.3516800,0.001760,-0.001760
355703913,"111",0.9406970,,,5380.0000000,,,508.8420000,"111.01",2.1061569,0.0000026,-0.0000026,13.0868720,2.5122080,-2.5122080,2458326.1054860,0.000396,-0.000396
446549905,"1110",1.6400000,0.0700000,-0.0700000,6610.0000000,128.4000000,-128.4000000,243.8380000,"1110.01",2.4545635,0.0000010,-0.0000010,11.1276000,0.4671510,-0.4671510,2460146.9901360,0.000380,-0.000380
412014494,"1111",2.1300000,0.0800000,-0.0800000,7262.0000000,134.8000000,-134.8000000,312.4610000,"1111.01",11.4756978,0.0000885,-0.0000885,14.1098000,4.1818100,-4.1818100,2460131.8898050,0.006762,-0.006762
369864738,"1112",2.2100000,0.0900000,-0.0900000,6819.0000000,137.6000000,-137.6000000,292.0850000,"1112.01",2.7818600,0.0005000,-0.0005000,4.9256700,0.3318640,-0.3318640,2458626.5416800,0.005850,-0.005850
290348382,"1113",0.5300000,0.0200000,-0.0200000,3469.0000000,157.0000000,-157.0000000,23.8853000,"1113.01",6.4410082,0.0000066,-0.0000066,4.5920300,0.1758720,-0.1758720,2460140.2212050,0.000932,-0.000932
409934330,"1114",,,,8048.0000000,,,174.4750000,"1114.01",2.4887726,0.0000014,-0.0000014,,,,2460148.6161950,0.000482,-0.000482
379286801,"1115",1.5700000,0.0600000,-0.0600000,6708.3000000,119.7000000,-119.7000000,359.2150000,"1115.01",4.4519900,0.0003500,-0.0003500,15.8858000,7.8904200,-7.8904200,2458658.3274700,0.001090,-0.001090
304100538,"1116",0.9062820,0.0488920,-0.0488920,5551.0000000,187.0000000,-187.0000000,94.4178000,"1116.01",5.0100708,0.0000135,-0.0000135,2.3107394,0.1963706,-0.1963706,2458325.6619060,0.001896,-0.001896
295541511,"1117",1.0200000,0.0500000,-0.0500000,5731.0000000,132.8000000,-132.8000000,167.5980000,"1117.01",2.2281625,0.0000151,-0.0000151,2.5677800,0.1785940,-0.1785940,2459386.9638140,0.003038,-0.003038
90919952,"1118",,,,4898.4000000,88.7000000,-88.7000000,,"1118.01",4.1381200,0.0003600,-0.0003600,,,,2458660.1631600,0.001210,-0.001210
261369656,"1119",2.0700000,0.1000000,-0.1000000,6456.0000000,127.2000000,-127.2000000,421.5180000,"1119.01",10.9566300,0.0020300,-0.0020300,23.9726000,8.8214700,-8.8214700,2458666.5219900,0.001880,-0.001880
388104525,"112",1.1373200,0.0577764,-0.0577764,5650.0000000,,,302.4480000,"112.01",2.4997996,0.0000004,-0.0000004,13.8516093,0.7051293,-0.7051293,2460069.7736460,0.000365,-0.000365
143257766,"1120",1.6400000,0.0700000,-0.0700000,7301.0000000,141.5000000,-141.5000000,386.3230000,"1120.01",1.6622600,,,13.3343000,0.6111710,-0.6111710,2458656.4508200,0.000670,-0.000670
24094603,"1121",,,,,,,338.6440000,"1121.01",4.0761100,0.0020000,-0.0020000,,,,2458658.6105200,0.006210,-0.006210
304774444,"1122",1.3800000,,,6317.0000000,,,249.8260000,"1122.01",3.6245513,0.0000118,-0.0000118,4.3503000,,,2460115.8525740,0.004219,-0.004219
469782185,"1123",1.2700000,0.0700000,-0.0700000,5159.8000000,156.3000000,-156.3000000,161.9320000,"1123.01",1.2092800,0.0000200,-0.0000200,15.1764000,4.0994000,-4.0994000,2458658.0408700,0.000260,-0.000260
128790976,"1124",1.4900000,0.0700000,-0.0700000,6690.0000000,119.9000000,-119.9000000,75.7145000,"1124.01",3.5187707,0.0000094,-0.0000094,14.0061000,2.5758500,-2.5758500,2460149.3917580,0.001349,-0.001349
